"Date","Example1","Example2","Example3"
"2019-01-21",98101.1861403755,51280.4485134834,88658.3439913741
"2019-01-28",104512.237405873,53046.3614168629,88515.3852264092
"2019-02-04",106869.557226073,54028.8001683458,91827.3934259726
"2019-02-11",106624.100202326,49627.2483790834,89411.1827214102
"2019-02-18",102422.010985935,48519.6701623274,83096.9060316871
"2019-02-25",95983.9785871142,48546.1807661345,85442.9024641306
"2019-03-04",96971.5495960336,49075.632591796,87667.1216742001
"2019-03-11",96925.5249613131,48748.3709448936,86596.6055972284
"2019-03-18",97267.9009293439,49675.251030967,86393.4590466619
"2019-03-25",96254.581403393,48140.9216322151,83475.2629288483
"2019-04-01",99958.6965277348,55135.6082537139,96039.0882260769
"2019-04-08",98452.4335628752,56670.2575985168,85844.007182837
"2019-04-15",121249.477618206,58296.9307702386,98113.1182049603
"2019-04-22",82464.4689255489,41758.9194050972,71156.2718745193
"2019-04-29",91443.3934293553,44024.2254876529,83062.7068511147
"2019-05-06",100066.175466889,49408.6307783275,85393.5654405854
"2019-05-13",99544.8452836088,50086.6386424462,88907.4982041857
"2019-05-20",97604.7459259395,46945.4268091026,87521.2823574332
"2019-05-27",90727.1008593356,40750.6462532769,87782.4890513697
"2019-06-03",129212.247616276,72755.0687503222,101619.503579997
"2019-06-10",111804.474192289,69039.7288995077,95466.8053813697
"2019-06-17",110728.042675609,67109.9844642098,93093.5236766653
"2019-06-24",108119.953430259,54263.4104738061,86826.052753908
"2019-07-01",103844.398037508,48420.279642211,86174.3270244191
"2019-07-08",103346.77741403,50681.6272987979,86036.7777470147
"2019-07-15",98341.4677263499,51101.935534959,87882.4698733338
"2019-07-22",98767.9896479816,47401.6457560945,86973.4102909957
"2019-07-29",98216.1412375027,49135.2573123241,78903.5969709518
"2019-08-05",93341.4720707707,48125.3012320711,84263.9358502766
"2019-08-12",93338.0621572648,42151.1725907435,77207.5088481422
"2019-08-19",98645.3398458652,48125.5177285013,79660.8119536077
"2019-08-26",90616.2073179735,51800.5174463929,78684.6667688138
"2019-09-02",97101.8600118703,54332.2259779953,89525.5342488461
"2019-09-09",101232.819707763,48182.9137890364,85203.3386000741
"2019-09-16",104276.248511106,46970.4394402736,90514.044288441
"2019-09-23",94939.1809596054,49037.3952220628,79490.8759953881
"2019-09-30",101729.252522313,47784.2165933292,81391.2973166282
"2019-10-07",109461.882347144,55241.304538205,90451.1646854562
"2019-10-14",100329.754344936,49240.2499148148,87899.1361215739
"2019-10-21",90491.5535443071,46528.7219087145,80025.3239249583
"2019-10-28",113668.268902289,56431.7932766005,85592.8020319082
"2019-11-04",118059.017950643,75712.2488199637,98792.3123230192
"2019-11-11",121652.951293197,72772.4033051475,93256.2854636811
"2019-11-18",102955.454084305,57576.771382174,89108.0289361804
"2019-11-25",98276.3497932554,50607.0199257193,82056.8444986232
"2019-12-02",98139.5893140493,50201.7956809999,84342.2969971516
"2019-12-09",95283.7787180138,51053.0167494659,89045.2220616802
"2019-12-16",112884.889185606,59792.369606972,97255.2325697226
"2019-12-23",101422.577396636,48438.363481951,81331.2999285491
"2019-12-30",111721.320636102,50077.9743110419,84289.8962475323
"2020-01-06",101589.401961436,46695.571557209,78850.4920383859
"2020-01-13",107079.290416723,58058.3374132866,88033.0462703887
"2020-01-20",99677.05908213,50342.9280407197,86989.1945789821
"2020-01-27",98344.6740815241,48638.875493982,88106.628506936
"2020-02-03",104092.870473157,52437.0828285106,86075.2001302174
"2020-02-10",101788.35388652,49854.7495647904,88909.3866277163
"2020-02-17",102706.83898749,51160.916483032,85672.9629306167
"2020-02-24",109382.940706751,56310.7968381557,95655.8306630066
"2020-03-02",129781.247467365,83940.678791467,102900.978473893
"2020-03-09",131825.237449709,68824.9914765898,120321.812027237
"2020-03-16",113217.424143735,34792.5868553099,102541.163225236
"2020-03-23",113248.32142057,37400.4501862813,100970.967234032
"2020-03-30",131169.8113971,36577.5843117657,109056.001476578
"2020-04-06",148083.019774672,55948.6742438299,133243.677634958
"2020-04-13",114707.827574648,46330.937040668,102341.895291346
"2020-04-20",103597.297330022,45574.3266631363,118112.240034411
"2020-04-27",120521.250374888,52522.0506833854,127253.303863002
"2020-05-04",110542.385782881,52664.160285955,113598.614863431
"2020-05-11",105806.471252793,55118.233547878,105406.427957488
"2020-05-18",104428.027064209,53608.5437586665,94983.8610428343
"2020-05-25",103058.189580984,49375.2597758148,93750.1091467886
"2020-06-01",112850.013535435,63845.4291941336,107823.787111778
"2020-06-08",106890.430277543,72812.5504487061,94312.8086502314
"2020-06-15",93620.4873507109,50358.2765378963,92736.0598451217
"2020-06-22",89828.6692586929,49761.0595242646,85401.6075553893
"2020-06-29",97989.4493014438,49039.5652799328,81658.9061823725
"2020-07-06",96695.8582348419,44546.8415178388,81475.60955574
"2020-07-13",96237.8092826144,51485.0158424813,86409.8129568875
"2020-07-20",92445.5370460182,47489.7345944239,82184.6462567088
"2020-07-27",93237.6855955479,47657.4076700802,83266.5783566683
"2020-08-03",93938.8561844789,46602.9432891693,78379.9158627735
"2020-08-10",92978.8133679322,44514.7243815467,75285.4796740078
"2020-08-17",92508.6181258823,46053.5916738011,85338.8521396762
"2020-08-24",92610.8465517448,53281.1568847497,83937.0076097058
"2020-08-31",87228.6691301041,43769.6248355608,77453.3860736526
"2020-09-07",93446.1491765965,46187.0407216887,80434.1928972995
"2020-09-14",100406.460168411,48748.2166334291,87236.3373104523
"2020-09-21",97152.8735341079,51969.1789313365,79312.1254594018
"2020-09-28",100994.62973564,47596.6590108601,86710.8285006775
"2020-10-05",93865.4168410149,48277.0465717651,82511.8427331796
"2020-10-12",103742.8349411,53115.5377315803,88804.2843785955
"2020-10-19",102191.746449663,47542.9361931776,85727.4729631189
"2020-10-26",106018.143205261,56363.4338994291,99093.5226352739
"2020-11-02",125853.839147031,69626.2303166985,123879.259405189
"2020-11-09",122623.897104292,63751.8565966293,98856.1984999154
"2020-11-16",111685.782453964,55380.4184158376,102520.082311036
"2020-11-23",106365.525261253,50133.6453778922,93484.7027554534
"2020-11-30",108211.92175441,53408.8282244783,92339.0247036525
"2020-12-07",100571.841160724,48225.0576274542,82920.1136709441
"2020-12-14",108746.264631779,56115.2846579972,90211.1343272061
"2020-12-21",100080.523306708,51800.9336398225,98482.2666810867
"2020-12-28",113639.471898937,54013.5350815198,94084.373198412
"2021-01-04",110708.217462138,53496.8387248115,93453.0247577826
"2021-01-11",101065.224675852,49275.6847161403,86745.1378959487
